date,nav,acc_nav,change_pct
2015-08-06,1.0000,1.0000,
2015-08-07,1.0000,1.0000,0.00
2015-08-10,1.0000,1.0000,0.00
2015-08-14,1.0000,1.0000,
2015-08-17,1.0000,1.0000,0.00
2015-08-18,1.0030,1.0030,0.30
2015-08-19,1.0030,1.0030,0.00
2015-08-20,1.0020,1.0020,-0.10
2015-08-21,1.0070,1.0070,0.50
2015-08-24,0.9920,0.9920,-1.49
2015-08-25,0.9750,0.9750,-1.71
2015-08-26,0.9650,0.9650,-1.03
2015-08-27,0.9370,0.9370,-2.90
2015-08-28,0.9530,0.9530,1.71
2015-08-31,0.9580,0.9580,0.52
2015-09-01,0.9560,0.9560,-0.21
2015-09-02,0.9570,0.9570,0.10
2015-09-07,0.9550,0.9550,-0.21
2015-09-08,0.9500,0.9500,-0.52
2015-09-09,0.9640,0.9640,1.47
2015-09-10,0.9530,0.9530,-1.14
2015-09-11,0.9570,0.9570,0.42
2015-09-14,0.9470,0.9470,-1.04
2015-09-15,0.9460,0.9460,-0.11
2015-09-16,0.9450,0.9450,-0.11
2015-09-17,0.9640,0.9640,2.01
2015-09-18,0.9730,0.9730,0.93
2015-09-21,0.9790,0.9790,0.62
2015-09-22,0.9780,0.9780,-0.10
2015-09-23,0.9630,0.9630,-1.53
2015-09-24,0.9660,0.9660,0.31
2015-09-25,0.9730,0.9730,0.72
2015-09-28,0.9680,0.9680,-0.51
2015-09-29,0.9490,0.9490,-1.96
2015-09-30,0.9480,0.9480,-0.11
2015-10-08,0.9990,0.9990,5.38
2015-10-09,0.9910,0.9910,-0.80
2015-10-12,0.9950,0.9950,0.40
2015-10-13,0.9930,0.9930,-0.20
2015-10-14,0.9960,0.9960,0.30
2015-10-15,1.0010,1.0010,0.50
2015-10-16,0.9940,0.9940,-0.70
2015-10-19,0.9890,0.9890,-0.50
2015-10-20,0.9830,0.9830,-0.61
2015-10-21,0.9840,0.9840,0.10
2015-10-22,0.9790,0.9790,-0.51
2015-10-23,0.9850,0.9850,0.61
2015-10-26,0.9840,0.9840,-0.10
2015-10-27,0.9850,0.9850,0.10
2015-10-28,0.9870,0.9870,0.20
2015-10-29,0.9960,0.9960,0.91
2015-10-30,0.9760,0.9760,-2.01
2015-11-02,0.9710,0.9710,-0.51
2015-11-03,0.9680,0.9680,-0.31
2015-11-04,0.9640,0.9640,-0.41
2015-11-05,0.9580,0.9580,-0.62
2015-11-06,0.9500,0.9500,-0.84
2015-11-09,0.9440,0.9440,-0.63
2015-11-10,0.9360,0.9360,-0.85
2015-11-11,0.9320,0.9320,-0.43
2015-11-12,0.9320,0.9320,0.00
2015-11-13,0.9320,0.9320,0.00
2015-11-16,0.9360,0.9360,0.43
2015-11-17,0.9300,0.9300,-0.64
2015-11-18,0.9240,0.9240,-0.65
2015-11-19,0.9230,0.9230,-0.11
2015-11-20,0.9260,0.9260,0.33
2015-11-23,0.9130,0.9130,-1.40
2015-11-24,0.9050,0.9050,-0.88
2015-11-25,0.9130,0.9130,0.88
2015-11-26,0.9130,0.9130,0.00
2015-11-27,0.9140,0.9140,0.11
2015-11-30,0.9030,0.9030,-1.20
2015-12-01,0.9080,0.9080,0.55
2015-12-02,0.9110,0.9110,0.33
2015-12-03,0.9020,0.9020,-0.99
2015-12-04,0.9100,0.9100,0.89
2015-12-07,0.9250,0.9250,1.65
2015-12-08,0.9260,0.9260,0.11
2015-12-09,0.9190,0.9190,-0.76
2015-12-10,0.9240,0.9240,0.54
2015-12-11,0.9180,0.9180,-0.65
2015-12-14,0.9170,0.9170,-0.11
2015-12-15,0.9140,0.9140,-0.33
2015-12-16,0.9130,0.9130,-0.11
2015-12-17,0.9220,0.9220,0.99
2015-12-18,0.9130,0.9130,-0.98
2015-12-21,0.9220,0.9220,0.99
2015-12-22,0.9300,0.9300,0.87
2015-12-23,0.9310,0.9310,0.11
